rank,State,Population,Poverty,PovertyRate
1,Mississippi,2986220,620007,20.76
2,New Mexico,2084828,420293,20.16
3,Louisiana,4663461,887574,19.03
4,Kentucky,4424376,783586,17.71
5,Arkansas,2977944,524211,17.66
6,Alabama,4850771,849699,17.52
7,West Virginia,1836843,317089,17.26
8,Arizona,6809946,1128046,16.56
9,District of Columbia,672391,111025,16.51
10,Georgia,10201635,1679030,16.46
11,Tennessee,6597381,1072360,16.25
12,South Carolina,4893444,790657,16.16
13,Oklahoma,3896251,612714,15.73
14,North Carolina,10052564,1579871,15.72
15,Texas,27419612,4291384,15.65
16,Michigan,9925568,1510841,15.22
17,Florida,20278447,3070972,15.14
18,California,38982847,5773408,14.81
19,New York,19798228,2908471,14.69
20,Oregon,4025127,587248,14.59
21,Ohio,11609756,1683890,14.5
22,Idaho,1657375,236000,14.24
23,Missouri,6075300,861679,14.18
24,Indiana,6614418,933540,14.11
25,Nevada,2887725,405263,14.03
26,Montana,1029862,144198,14
27,South Dakota,855444,114885,13.43
28,Illinois,12854526,1698613,13.21
29,Rhode Island,1056138,136126,12.89
30,Pennsylvania,12790505,1623537,12.69
31,Maine,1330158,166904,12.55
32,Kansas,2903820,361285,12.44
33,Wisconsin,5763217,692719,12.02
34,Washington,7169967,859950,11.99
35,Delaware,943732,111304,11.79
36,Nebraska,1893921,220330,11.63
37,Iowa,3118102,361343,11.59
38,Colorado,5436519,612143,11.26
39,Vermont,624636,68144,10.91
40,Wyoming,583200,63398,10.87
41,Utah,2993941,324856,10.85
42,Virginia,8365952,906838,10.84
43,Massachusetts,6789319,727546,10.72
44,North Dakota,745475,79374,10.65
45,New Jersey,8960161,938252,10.47
46,Minnesota,5490726,560995,10.22
47,Hawaii,1421658,143148,10.07
48,Alaska,738565,73380,9.94
49,Connecticut,3594478,350783,9.76
50,Maryland,5996079,566966,9.46
51,New Hampshire,1331848,104470,7.84